src,dst,weight
pytorch/pytorch,Moataz-Elmesmary/Data-Science-Roadmap,4
pytorch/pytorch,ml-tooling/ml-workspace,4
pytorch/pytorch,jaymody/picoGPT,4
pytorch/pytorch,astorfi/TensorFlow-World,4
pytorch/pytorch,hemansnation/AI-Engineer-Headquarters,4
pytorch/pytorch,podgorskiy/ALAE,4
pytorch/pytorch,louisfb01/best_AI_papers_2022,4
pytorch/pytorch,ashishpatel26/Andrew-NG-Notes,5
pytorch/pytorch,tirthajyoti/Data-science-best-resources,4
pytorch/pytorch,easy-tensorflow/easy-tensorflow,4
pytorch/pytorch,meta-pytorch/tnt,4
pytorch/pytorch,teddylee777/machine-learning,4
pytorch/pytorch,PetrochukM/PyTorch-NLP,4
pytorch/pytorch,NVIDIA/DALI,5
pytorch/pytorch,greyhatguy007/Machine-Learning-Specialization-Coursera,4
pytorch/pytorch,tensorflow/serving,4
pytorch/pytorch,deepjavalibrary/djl,4
pytorch/pytorch,TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,4
pytorch/pytorch,tensorflow/adanet,4
pytorch/pytorch,PennyLaneAI/pennylane,5
pytorch/pytorch,robi56/Deep-Learning-for-Recommendation-Systems,4
pytorch/pytorch,The-AI-Summer/Deep-Learning-In-Production,4
pytorch/pytorch,CyberDataLab/nebula,4
rasbt/LLMs-from-scratch,labmlai/annotated_deep_learning_paper_implementations,5
rasbt/LLMs-from-scratch,keras-team/keras,5
rasbt/LLMs-from-scratch,ultralytics/ultralytics,4
rasbt/LLMs-from-scratch,GokuMohandas/Made-With-ML,4
rasbt/LLMs-from-scratch,microsoft/AI-For-Beginners,4
rasbt/LLMs-from-scratch,ray-project/ray,6
rasbt/LLMs-from-scratch,roboflow/supervision,4
rasbt/LLMs-from-scratch,LAION-AI/Open-Assistant,5
rasbt/LLMs-from-scratch,explosion/spaCy,6
rasbt/LLMs-from-scratch,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,4
rasbt/LLMs-from-scratch,lutzroeder/netron,4
rasbt/LLMs-from-scratch,Lightning-AI/pytorch-lightning,6
rasbt/LLMs-from-scratch,AMAI-GmbH/AI-Expert-Roadmap,4
rasbt/LLMs-from-scratch,JaidedAI/EasyOCR,4
rasbt/LLMs-from-scratch,d2l-ai/d2l-en,4
rasbt/LLMs-from-scratch,fastai/fastai,4
rasbt/LLMs-from-scratch,deepset-ai/haystack,8
rasbt/LLMs-from-scratch,lukasmasuch/best-of-ml-python,6
rasbt/LLMs-from-scratch,amusi/CVPR2026-Papers-with-Code,4
rasbt/LLMs-from-scratch,recommenders-team/recommenders,5
rasbt/LLMs-from-scratch,huggingface/datasets,6
rasbt/LLMs-from-scratch,onnx/onnx,5
rasbt/LLMs-from-scratch,AccumulateMore/CV,4
rasbt/LLMs-from-scratch,microsoft/onnxruntime,4
rasbt/LLMs-from-scratch,AI4Finance-Foundation/FinGPT,4
rasbt/LLMs-from-scratch,meta-llama/llama-cookbook,5
rasbt/LLMs-from-scratch,arc53/DocsGPT,8
rasbt/LLMs-from-scratch,stas00/ml-engineering,6
rasbt/LLMs-from-scratch,bharathgs/Awesome-pytorch-list,4
rasbt/LLMs-from-scratch,lukas-blecher/LaTeX-OCR,4
rasbt/LLMs-from-scratch,memvid/memvid,4
rasbt/LLMs-from-scratch,microsoft/nni,4
rasbt/LLMs-from-scratch,owainlewis/awesome-artificial-intelligence,4
rasbt/LLMs-from-scratch,tangyudi/Ai-Learn,5
rasbt/LLMs-from-scratch,ludwig-ai/ludwig,4
rasbt/LLMs-from-scratch,tensorzero/tensorzero,9
rasbt/LLMs-from-scratch,kornia/kornia,5
rasbt/LLMs-from-scratch,wandb/wandb,4
rasbt/LLMs-from-scratch,rushter/MLAlgorithms,4
rasbt/LLMs-from-scratch,voxel51/fiftyone,4
rasbt/LLMs-from-scratch,lexfridman/mit-deep-learning,4
rasbt/LLMs-from-scratch,chiphuyen/stanford-tensorflow-tutorials,4
rasbt/LLMs-from-scratch,autogluon/autogluon,4
rasbt/LLMs-from-scratch,satellite-image-deep-learning/techniques,4
rasbt/LLMs-from-scratch,dair-ai/Prompt-Engineering-Guide,4
rasbt/LLMs-from-scratch,mlc-ai/web-llm,4
rasbt/LLMs-from-scratch,BlinkDL/RWKV-LM,6
rasbt/LLMs-from-scratch,Lightning-AI/litgpt,5
rasbt/LLMs-from-scratch,liyupi/ai-guide,8
rasbt/LLMs-from-scratch,speechbrain/speechbrain,4
rasbt/LLMs-from-scratch,openvinotoolkit/openvino,4
rasbt/LLMs-from-scratch,bigscience-workshop/petals,7
rasbt/LLMs-from-scratch,google-deepmind/sonnet,4
rasbt/LLMs-from-scratch,microsoft/computervision-recipes,4
rasbt/LLMs-from-scratch,vwxyzjn/cleanrl,4
rasbt/LLMs-from-scratch,hiyouga/LlamaFactory,5
rasbt/LLMs-from-scratch,botpress/botpress,5
rasbt/LLMs-from-scratch,neuml/txtai,6
rasbt/LLMs-from-scratch,stanfordnlp/stanza,5
rasbt/LLMs-from-scratch,deeppavlov/DeepPavlov,5
rasbt/LLMs-from-scratch,amitness/learning,4
rasbt/LLMs-from-scratch,rohitg00/ai-engineering-from-scratch,8
rasbt/LLMs-from-scratch,AutoGPTQ/AutoGPTQ,4
rasbt/LLMs-from-scratch,Nyandwi/machine_learning_complete,4
rasbt/LLMs-from-scratch,trigaten/Learn_Prompting,6
rasbt/LLMs-from-scratch,promptslab/Promptify,4
rasbt/LLMs-from-scratch,luban-agi/Awesome-AIGC-Tutorials,4
rasbt/LLMs-from-scratch,LLMBook-zh/LLMBook-zh.github.io,4
rasbt/LLMs-from-scratch,mosaicml/llm-foundry,4
rasbt/LLMs-from-scratch,Moataz-Elmesmary/Data-Science-Roadmap,4
rasbt/LLMs-from-scratch,dalinvip/Awesome-ChatGPT,4
rasbt/LLMs-from-scratch,SylphAI-Inc/AdalFlow,6
rasbt/LLMs-from-scratch,ml-tooling/ml-workspace,5
rasbt/LLMs-from-scratch,aurelio-labs/semantic-router,5
rasbt/LLMs-from-scratch,jaymody/picoGPT,5
rasbt/LLMs-from-scratch,HenryNdubuaku/maths-cs-ai-compendium,4
rasbt/LLMs-from-scratch,explosion/thinc,6
rasbt/LLMs-from-scratch,huggingface/neuralcoref,4
rasbt/LLMs-from-scratch,huggingface/knockknock,4
rasbt/LLMs-from-scratch,alan-ai/alan-sdk-web,4
rasbt/LLMs-from-scratch,github/CodeSearchNet,4
rasbt/LLMs-from-scratch,eon01/awesome-chatgpt,4
rasbt/LLMs-from-scratch,activeloopai/deeplake,5
rasbt/LLMs-from-scratch,SerpentAI/SerpentAI,4
