model,query_idx,query_repo,relevant_candidates,Precision@10,Recall@10,MAP@10,NDCG@10
Popularity baseline,1716,Aratako/Irodori-TTS,51,0.0,0.0,0.0,0.0
Popularity baseline,1717,yuanzhi-zhu/DiffPIR,201,0.0,0.0,0.0,0.0
Popularity baseline,1718,FirasGit/medicaldiffusion,914,0.3,0.0032822757111597373,0.09940476190476191,0.25284102718517737
Popularity baseline,1738,HKUDS/DeepTutor,39,0.0,0.0,0.0,0.0
Popularity baseline,1739,BradyFU/Awesome-Multimodal-Large-Language-Models,230,0.0,0.0,0.0,0.0
Popularity baseline,1746,01-ai/Yi,230,0.0,0.0,0.0,0.0
Popularity baseline,1750,QwenLM/Qwen-VL,230,0.0,0.0,0.0,0.0
Popularity baseline,1754,BrainBlend-AI/atomic-agents,195,0.5,0.02564102564102564,0.22730158730158728,0.42724449526787633
Popularity baseline,1755,Helicone/helicone,272,0.5,0.01838235294117647,0.22730158730158728,0.42724449526787633
Popularity baseline,1771,ictnlp/LLaMA-Omni,322,0.0,0.0,0.0,0.0
Popularity baseline,1772,salesforce/CodeT5,287,0.1,0.003484320557491289,0.01111111111111111,0.06625422345438903
Popularity baseline,1774,swirlai/swirl-search,112,0.2,0.017857142857142856,0.06999999999999999,0.20248323207250624
Popularity baseline,1779,JIA-Lab-research/LongLoRA,553,0.7,0.012658227848101266,0.5430952380952381,0.7289115290270202
Popularity baseline,1783,intel/neural-compressor,230,0.0,0.0,0.0,0.0
Popularity baseline,1788,mohsen1/yek,236,0.4,0.01694915254237288,0.17285714285714288,0.36099027181348725
Popularity baseline,1790,zurawiki/gptcommit,230,0.0,0.0,0.0,0.0
Popularity baseline,1795,refuel-ai/autolabel,538,0.8,0.01486988847583643,0.5475396825396825,0.6851198693323691
Popularity baseline,1804,Timothyxxx/Chain-of-ThoughtsPapers,230,0.0,0.0,0.0,0.0
Popularity baseline,1824,snwfdhmp/awesome-gpt-prompt-engineering,314,0.5,0.01592356687898089,0.22730158730158728,0.42724449526787633
Popularity baseline,1825,NVIDIA-NeMo/Curator,186,0.3,0.016129032258064516,0.10500000000000001,0.27191445400928355
Popularity baseline,1828,allenai/dolma,159,0.1,0.006289308176100629,0.0125,0.06943122193677727
Popularity baseline,1831,bytedance/SALMONN,38,0.0,0.0,0.0,0.0
Popularity baseline,1833,explosion/spacy-llm,537,0.8,0.0148975791433892,0.6308730158730158,0.7951657524814092
Popularity baseline,1837,jackaduma/awesome_LLMs_interview_notes,302,0.5,0.016556291390728478,0.23285714285714282,0.43042149375026456
Popularity baseline,1841,huybery/Awesome-Code-LLM,287,0.0,0.0,0.0,0.0
Popularity baseline,1862,civitai/civitai,501,0.6,0.011976047904191617,0.3326984126984127,0.522032859637427
Popularity baseline,1863,mylxsw/aidea,124,0.5,0.04032258064516129,0.2373015873015873,0.4368897419958061
Popularity baseline,1873,Stability-AI/StableSwarmUI,68,0.1,0.014705882352941176,0.025,0.09478836436955078
Popularity baseline,1878,riffusion/riffusion-hobby,60,0.1,0.016666666666666666,0.025,0.09478836436955078
Popularity baseline,1886,calesthio/OpenMontage,309,0.6,0.019417475728155338,0.3326984126984127,0.522032859637427
Popularity baseline,1889,cvlab-columbia/zero123,211,0.1,0.004739336492890996,0.025,0.09478836436955078
Popularity baseline,1890,rgthree/rgthree-comfy,216,0.1,0.004629629629629629,0.025,0.09478836436955078
Popularity baseline,1891,deforum/sd-webui-deforum,211,0.1,0.004739336492890996,0.025,0.09478836436955078
Popularity baseline,1894,IceClear/StableSR,211,0.1,0.004739336492890996,0.025,0.09478836436955078
