repo_id,nombre,descripcion,lenguaje,stars,forks,topics,fecha_creacion,ultimo_commit,url
216012144,gvinciguerra/PGM-index,"🏅State-of-the-art learned data structure that enables fast lookup, predecessor, range searches and updates in arrays of billions of items using orders of magnitude less space than traditional indexes",C++,868,103,"['data-structures', 'database', 'cpp', 'research', 'indexing', 'big-data', 'compression', 'succinct-data-structure', 'b-tree', 'machine-learning', 'header-only', 'spatial-index', 'multidimensional-trees', 'multidimensional']",2019-10-18 11:48:12+00:00,2024-11-28 11:22:31+00:00,https://github.com/gvinciguerra/PGM-index
269430414,saltudelft/ml4se,"A curated list of papers, theses, datasets, and tools related to the application of Machine Learning for Software Engineering",,730,92,"['machine-learning', 'software-engineering', 'code', 'papers', 'datasets', 'tools', 'tudelft', 'deep-learning', 'theses', 'ml4se', 'research', 'ml4code', 'ai4code', 'ai4se', 'llm4code']",2020-06-04 18:05:47+00:00,2025-11-06 17:52:31+00:00,https://github.com/saltudelft/ml4se
297155132,Stable-Baselines-Team/stable-baselines3-contrib,Contrib package for Stable-Baselines3 -  Experimental reinforcement learning (RL) code,Python,711,239,"['reinforcement-learning', 'stable-baselines', 'pytorch', 'rl', 'gym', 'research', 'experimental', 'robotics', 'openai', 'machine-learning', 'reinforcement-learning-algorithms', 'gsde', 'sde']",2020-09-20 20:09:56+00:00,2026-04-23 08:22:08+00:00,https://github.com/Stable-Baselines-Team/stable-baselines3-contrib
73978156,csinva/csinva.github.io,"Slides, paper notes, class notes, blog posts, and research on ML 📉, statistics 📊, and AI 🤖.",HTML,613,105,"['notes', 'slides', 'blog', 'machine-learning', 'statistics', 'artificial-intelligence', 'jekyll-themes', 'website', 'research', 'awesome', 'ml', 'ai', 'deep-learning', 'machine-learning-tutorials', 'neuroscience', 'data-science', 'computational-neuroscience', 'python', 'pytorch', 'stats']",2016-11-17 01:34:22+00:00,2026-04-16 14:00:56+00:00,https://github.com/csinva/csinva.github.io
419991646,mli/paper-reading,深度学习经典、新论文逐段精读,,32920,2784,"['deep-learning', 'paper', 'reading-list']",2021-10-22 06:34:51+00:00,2025-03-22 03:49:35+00:00,https://github.com/mli/paper-reading
243181735,amusi/CVPR2026-Papers-with-Code,CVPR 2026 论文和开源项目合集,,22460,2792,"['cvpr', 'cvpr2020', 'computer-vision', 'deep-learning', 'machine-learning', 'object-detection', 'image-segmentation', 'paper', 'image-processing', 'visual-tracking', 'python', 'cvpr2021', 'semantic-segmentation', 'cvpr2022', 'transformer', 'transformers', 'cvpr2023', 'cvpr2024', 'cvpr2025', 'cvpr2026']",2020-02-26 06:04:25+00:00,2026-03-08 07:27:34+00:00,https://github.com/amusi/CVPR2026-Papers-with-Code
89846872,jindongwang/transferlearning,"Transfer learning / domain adaptation / domain generalization / multi-task learning etc. Papers, codes, datasets, applications, tutorials.-迁移学习",Python,14325,3843,"['transferlearning', 'domain-adaptation', 'transfer-learning', 'survey', 'deep-learning', 'generalization', 'few-shot', 'tutorial-code', 'theory', 'papers', 'few-shot-learning', 'meta-learning', 'domain-generalization', 'representation-learning', 'unsupervised-learning', 'machine-learning', 'self-supervised-learning', 'paper', 'style-transfer', 'domain-adaption']",2017-04-30 11:32:21+00:00,2025-02-18 22:06:58+00:00,https://github.com/jindongwang/transferlearning
133543742,amusi/daily-paper-computer-vision,记录每天整理的计算机视觉/深度学习/机器学习相关方向的论文,,6748,1279,"['paper', 'deep-learning', 'computer-vision', 'machine-learning', 'face-detection', 'object-detection']",2018-05-15 16:27:19+00:00,2023-07-08 08:14:09+00:00,https://github.com/amusi/daily-paper-computer-vision
298980599,Charmve/Surface-Defect-Detection,📈 目前最大的工业缺陷检测数据库及论文集 Constantly summarizing open source dataset and critical papers in the field of surface defect research which are of great importance.  ,Python,4007,598,"['surface-detection', 'surface-defects', 'image-segmentation', 'pcb-surface-defect', 'surface-defect-detection', 'paper', 'defects', 'dataset', 'surface', 'deep-learning', 'charmve']",2020-09-27 07:47:25+00:00,2024-05-27 02:43:28+00:00,https://github.com/Charmve/Surface-Defect-Detection
65869182,foolwood/benchmark_results,Visual Tracking Paper List,,3952,1032,"['paper', 'tracking', 'deep-learning', 'benchmark', 'visual-tracking']",2016-08-17 02:23:51+00:00,2020-07-20 10:44:32+00:00,https://github.com/foolwood/benchmark_results
175274189,podgorskiy/ALAE,[CVPR2020] Adversarial Latent Autoencoders ,Python,3519,552,"['generative-adversarial-network', 'deep-learning', 'autoencoder', 'ffhq', 'celeba', 'celeba-hq', 'stylegan', 'alae', 'neural-network', 'generative-model', 'gan', 'face-generation', 'pytorch', 'pytorch-implementation', 'python', 'paper', 'paper-implementations', 'cvpr2020', 'computer-vision', 'machine-learning']",2019-03-12 18:31:50+00:00,2021-01-23 04:24:54+00:00,https://github.com/podgorskiy/ALAE
448085396,louisfb01/best_AI_papers_2022,"A curated list of the latest breakthroughs in AI (in 2022) by release date with a clear video explanation, link to a more in-depth article, and code.",,3188,200,"['python', 'computer-vision', 'computer-science', 'deep-learning', 'machine-learning', 'artificial-intelligence', 'ai', 'paper', 'technology', 'innovation', 'machinelearning', 'papers', 'neural-network', 'sota', 'state-of-the-art', 'state-of-art', '2022']",2022-01-14 19:32:18+00:00,2023-10-18 11:46:39+00:00,https://github.com/louisfb01/best_AI_papers_2022
74940973,endymecy/awesome-deeplearning-resources,Deep Learning and deep reinforcement learning research papers and some codes,,2997,678,"['deep-learning', 'reinforcement-learning', 'neural-network', 'paper', 'code', 'video', 'modelzoo', 'corpus', 'nlp']",2016-11-28 05:42:02+00:00,2026-01-28 10:58:06+00:00,https://github.com/endymecy/awesome-deeplearning-resources
117641180,tirthajyoti/Papers-Literature-ML-DL-RL-AI,"Highly cited and useful papers related to machine learning, deep learning, AI, game theory, reinforcement learning",,2877,805,"['deep-learning', 'machine-learning', 'machine-learning-algorithms', 'artificial-intelligence', 'neural-network', 'paper', 'learning-theory', 'reinforcement-learning', 'statistical-learning', 'data-mining', 'statistics', 'pattern-recognition', 'data-science', 'silicon', 'hardware', 'game-theory', 'literature']",2018-01-16 06:25:18+00:00,2023-02-18 08:00:16+00:00,https://github.com/tirthajyoti/Papers-Literature-ML-DL-RL-AI
73594093,zzw922cn/Automatic_Speech_Recognition,End-to-end Automatic Speech Recognition for Madarian and English in Tensorflow ,Python,2838,536,"['automatic-speech-recognition', 'tensorflow', 'timit-dataset', 'feature-vector', 'phonemes', 'data-preprocessing', 'rnn', 'audio', 'deep-learning', 'lstm', 'end-to-end', 'cnn', 'rnn-encoder-decoder', 'evaluation', 'paper', 'speech-recognition', 'layer-normalization', 'chinese-speech-recognition']",2016-11-13 03:51:07+00:00,2023-03-24 22:38:30+00:00,https://github.com/zzw922cn/Automatic_Speech_Recognition
89488284,KupynOrest/DeblurGAN,Image Deblurring using Generative Adversarial Networks,Python,2637,531,"['deep-learning', 'gan', 'deblurring', 'image-processing', 'image-manipulation', 'neural-network', 'convolutional-neural-networks', 'convolutional-networks', 'computer-vision', 'image-to-image-translation', 'blurry-images', 'pytorch', 'paper', 'pix2pix']",2017-04-26 14:08:11+00:00,2019-12-25 18:40:00+00:00,https://github.com/KupynOrest/DeblurGAN
52121440,aleju/papers,Summaries of machine learning papers,,2503,434,"['machine-learning', 'deep-learning', 'paper', 'summary', 'computer-vision', 'nlp', 'gan', 'deep-reinforcement-learning']",2016-02-19 22:44:27+00:00,2020-10-29 17:10:04+00:00,https://github.com/aleju/papers
323126831,louisfb01/Best_AI_paper_2020,"A curated list of the latest breakthroughs in AI by release date with a clear video explanation, link to a more in-depth article, and code",,2244,240,"['ai', 'papers', '2020', 'list', 'machinelearning', 'deeplearning', 'artificialintelligence', 'artificial-intelligence', 'deep-learning', 'machine-learning', 'state-of-the-art', 'state-of-art', 'state-of-the-art-models', 'state-of-art-general-segmentation', 'computer-vision', 'paper', 'paper-references', 'sota', 'sota-technique', 'deep-neural-networks']",2020-12-20 17:27:00+00:00,2022-01-28 15:27:50+00:00,https://github.com/louisfb01/Best_AI_paper_2020
